Country,ISO3,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,AFG,37.0,31.44885,37.0,37.0,37.0,38.16804,37.0,37.0,37.0,37.0,37.0,37.26604,37.0
Albania,ALB,99.0,96.8453,97.24697,99.0,99.0,97.5539,99.0,99.0,99.0,99.0,99.0,99.0,98.5
Algeria,DZA,81.0,81.0,81.0,81.0,81.0,79.6084,81.0,81.0,81.40784,81.0,81.0,81.0,81.0
American Samoa,ASM,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0
Andorra,AND,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Angola,AGO,72.0,72.0,72.0,72.0,66.03011,71.16416,72.0,72.0,72.0,72.0,72.0,72.0,72.4
Anguilla,AIA,,,,,,,,,,,,,
Antigua and Barbuda,ATG,99.0,99.0,99.0,99.0,98.95,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
Argentina,ARG,99.0,99.0,99.0,99.0,98.03402,98.08997,99.0,99.0,99.0,99.0,99.0,99.0,99.0
Armenia,ARM,100.0,99.74441,100.0,100.0,100.0,99.76842,99.74441,99.73607,100.0,100.0,99.78861,100.0,100.0
Aruba,ABW,96.82264,98.0,98.0,98.0,98.0,97.5242,98.0,98.0,98.0,98.0,97.99,98.0,98.0
Australia,AUS,,,,,,,,,,,,,
Austria,AUT,,98.0,,,,,,,,,,,
Azerbaijan,AZE,99.77114,99.77863,99.77577,99.78936,99.78899,99.78806,99.79006,99.79123,100.0,99.79598,100.0,100.0,100.0
Bahamas,BHS,,,,,,,,,,,,,
Bahrain,BHR,94.55679,92.3,98.0,98.0,98.0,95.71726,98.0,98.0,98.0,98.0,98.0,98.0,98.0
Bangladesh,BGD,75.0,58.76918,57.86075,61.01554,61.0933,65.13733,72.75872,72.89297,73.9122,74.68446,74.9089,75.0,75.0
Barbados,BRB,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Belarus,BLR,100.0,100.0,100.0,100.0,100.0,99.72204,100.0,100.0,100.0,99.874,100.0,100.0,100.0
Belgium,BEL,,,,,,,,,,,,,
Belize,BLZ,81.0,81.0,81.0,81.0,81.0,82.77682,81.0,81.0,81.0,81.0,81.0,81.0,81.0
Benin,BEN,47.0,47.0,32.94882,47.0,47.0,38.44714,47.0,47.0,47.0,47.0,47.0,47.0,47.1
Bermuda,BMU,,,,,,,,,,,,,
Bhutan,BTN,72.0,72.0,55.31756,72.0,72.0,63.90682,72.0,66.56115,72.0,72.0,72.0,72.0,72.1
Bolivia,BOL,94.0,92.22615,94.46057,94.0,94.0,92.45508,94.0,94.0,94.0,94.0,93.85256,94.0,94.0
Bosnia and Herzegovina,BIH,98.0,98.14204,98.0,96.99177,98.37765,98.48576,98.0,98.0,98.0,98.0,98.0,98.0,98.3
Botswana,BWA,89.0,89.0,89.0,86.82318,87.70751,88.22441,89.0,89.0,89.0,89.0,89.0,89.0,89.0
Brazil,BRA,90.37918,91.41124,91.33785,91.48424,91.72943,92.0479,92.80844,93.07582,93.2275,94.0,94.0,94.0,94.69
British Virgin Islands,VGB,,,,,,,,,,,,,
Brunei,BRN,98.0,96.08556,98.0,98.0,98.0,96.65653,98.0,98.0,97.21411,98.0,98.0,97.59,98.0
Bulgaria,BGR,98.0,98.35245,98.0,98.0,98.0,98.38858,98.0,98.0,98.0,98.0,98.0,98.42,98.0
Burkina Faso,BFA,34.0,34.0,34.0,34.0,34.5994,37.7467,34.0,34.0,39.34585,29.66328,34.0,34.0,34.49
Burundi,BDI,76.0,76.0,76.0,76.0,61.51349,85.49609,76.0,68.37533,76.0,76.0,76.0,76.0,75.54
Cambodia,KHM,84.0,84.0,84.0,84.0,78.05509,80.52649,84.0,84.0,84.0,84.0,84.0,84.0,83.78
Cameroon,CMR,71.29051,78.0,78.0,78.0,78.0,74.98558,78.0,78.0,77.07104,78.0,78.23,78.0,78.0
Canada,CAN,,,,,,,,,,,,,
Cape Verde,CPV,91.0,91.0,85.32779,91.0,91.0,86.79029,91.0,91.0,91.0,91.0,91.0,91.0,91.0
Cayman Islands,CYM,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.86782,99.0,99.0,99.0,99.0,99.0
Central African Republic,CAF,36.75261,37.0,37.0,37.0,37.0,36.75261,37.0,37.0,37.39582,37.0,37.49,37.0,37.0
Chad,TCD,27.0,27.0,27.0,27.0,39.04967,26.00299,22.31155,27.0,27.0,27.0,27.0,27.0,27.28
Chile,CHL,97.0,96.70301,97.0,96.26706,97.0,96.87413,97.0,96.40228,97.0,97.0,97.0,97.0,97.16
China,CHN,95.12448,97.0,97.0,97.0,97.0,96.35745,97.0,97.0,97.0,97.0,97.15,97.0,97.0
Colombia,COL,93.37233,93.58053,96.0,96.0,94.18625,94.24505,94.65385,96.0,95.09251,95.24927,95.63633,96.0,96.0
Comoros,COM,62.0,62.0,49.19614,62.0,77.57327,78.13739,62.0,62.0,62.0,62.0,62.0,62.0,61.71
Congo,COG,,79.31117,,,,79.31117,,,,,,80.61,
Cook Islands,COK,,95.0,,,,,,,,,,,
Costa Rica,CRI,98.0,97.40658,98.0,98.0,98.0,97.64725,98.0,98.0,98.0,98.0,98.0,98.04,98.0
Cote d'Ivoire,CIV,,,40.98163,,43.90842,43.26532,,,,89.89342,,,
Croatia,HRV,99.0,99.12536,99.0,99.0,99.0,99.27259,99.0,99.0,99.0,99.0,99.0,99.45,99.0
Cuba,CUB,100.0,100.0,99.67311,100.0,100.0,99.71072,100.0,100.0,100.0,100.0,100.0,99.67311,100.0
Cyprus,CYP,99.0,98.67843,99.0,99.0,99.0,99.05978,99.0,99.0,99.0,99.0,99.0,99.36,99.0
Czechia,CZE,,99.0,,,,,,,,,,,
Democratic Republic of Congo,COD,,,75.01719,,,77.22167,77.04268,,,,,,80.54
Denmark,DNK,,,,,,,,,,,,,
Djibouti,DJI,,,,,,,,,,,,,
Dominica,DMA,,,,,,,,,,,,,
Dominican Republic,DOM,89.53873,90.10638,90.15518,90.85815,91.76376,91.99121,93.77846,95.0,95.0,95.0,95.0,95.0,95.5
East Timor,TLS,58.30898,,,,,64.06614,,,,,69.9,,
